dataset,balancing_method,scaler_type,model_label,TP,FP,FN,TN,F1_Score,Precision,Recall,Especificidad,Error,PR_AUC,ROC_AUC,score
activemq-5.0.0,csbboost,standard,Árbol de Decisión,44,35,15,283,0.6376811594202898,0.5569620253164557,0.7457627118644068,0.889937106918239,0.13262599469496023,0.6245835929004253,0.8803165973776784,0.6782942670939638
activemq-5.0.0,csbboost,robust,Árbol de Decisión,44,35,15,283,0.6376811594202898,0.5569620253164557,0.7457627118644068,0.889937106918239,0.13262599469496023,0.6245835929004253,0.8803165973776784,0.6782942670939638
activemq-5.0.0,smote,standard,Árbol de Decisión,45,44,14,274,0.6081081081081081,0.5056179775280899,0.7627118644067796,0.8616352201257862,0.15384615384615385,0.6439230912684477,0.881835625199872,0.6771126072596447
derby-10.5.1.1,hcbou,standard,SVM,72,241,5,223,0.36923076923076925,0.23003194888178913,0.935064935064935,0.48060344827586204,0.45471349353049906,0.2664552362948311,0.7574731303179579,0.575009328977248
derby-10.5.1.1,hcbou,robust,SVM,75,319,2,145,0.3184713375796178,0.19035532994923857,0.974025974025974,0.3125,0.5933456561922366,0.22067315727744172,0.7247676892073444,0.5611335560977251
derby-10.5.1.1,hcbou,standard,Árbol de Decisión,59,142,18,322,0.4244604316546763,0.2935323383084577,0.7662337662337663,0.6939655172413793,0.2957486136783734,0.34924829449940364,0.7430586654724588,0.5461273380552578
groovy-1_6_BETA_1,csbboost,standard,Árbol de Decisión,10,33,4,118,0.3508771929824561,0.23255813953488372,0.7142857142857143,0.7814569536423841,0.22424242424242424,0.4296831911058997,0.7393566698202461,0.5120018011284482
groovy-1_6_BETA_1,csbboost,robust,Árbol de Decisión,10,33,4,118,0.3508771929824561,0.23255813953488372,0.7142857142857143,0.7814569536423841,0.22424242424242424,0.4296831911058997,0.7393566698202461,0.5120018011284482
groovy-1_6_BETA_1,smote,robust,SVM,11,76,3,75,0.21782178217821782,0.12643678160919541,0.7857142857142857,0.4966887417218543,0.47878787878787876,0.4069576772838863,0.7776726584673606,0.4828059626137787
hbase-0.94.0,smote,standard,Árbol de Decisión,33,31,11,137,0.6111111111111112,0.515625,0.75,0.8154761904761905,0.19811320754716982,0.6596082557783509,0.7755681818181819,0.6763660956001147
hbase-0.94.0,smote,robust,Árbol de Decisión,33,31,11,137,0.6111111111111112,0.515625,0.75,0.8154761904761905,0.19811320754716982,0.6596082557783509,0.7755681818181819,0.6763660956001147
hbase-0.94.0,hcbou,standard,Árbol de Decisión,32,28,12,140,0.6153846153846154,0.5333333333333333,0.7272727272727273,0.8333333333333334,0.18867924528301888,0.5663692246140519,0.8098620129870129,0.6503367819857475
hive-0.9.0,csbboost,standard,Árbol de Decisión,44,42,13,185,0.6153846153846154,0.5116279069767442,0.7719298245614035,0.8149779735682819,0.1936619718309859,0.6646661897127358,0.7934538990648426,0.6878590139209548
hive-0.9.0,csbboost,robust,Árbol de Decisión,44,42,13,185,0.6153846153846154,0.5116279069767442,0.7719298245614035,0.8149779735682819,0.1936619718309859,0.6646661897127358,0.7934538990648426,0.6878590139209548
hive-0.9.0,smote,robust,Árbol de Decisión,41,36,16,191,0.6119402985074627,0.5324675324675324,0.7192982456140351,0.8414096916299559,0.18309859154929578,0.6518267894285757,0.7812427544632506,0.6628607755343142
jruby-1.1,hcbou,standard,Naive Bayes Gaussiano,11,6,6,124,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.9538461538461539,0.08163265306122448,0.6570769948990228,0.9013574660633484,0.649062457803334
jruby-1.1,smote,standard,Naive Bayes Gaussiano,11,6,6,124,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.9538461538461539,0.08163265306122448,0.6318855660811948,0.8895927601809954,0.6440241720397685
jruby-1.1,unbalanced,standard,Naive Bayes Gaussiano,11,6,6,124,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.9538461538461539,0.08163265306122448,0.62298371018965,0.8773755656108597,0.6422438008614595
wicket-1.3.0-beta2,hcbou,robust,SVM,21,130,5,197,0.23728813559322035,0.1390728476821192,0.8076923076923077,0.6024464831804281,0.38243626062322944,0.23880108390822982,0.7638202775817454,0.4657523940958572
wicket-1.3.0-beta2,hcbou,standard,SVM,19,105,7,222,0.25333333333333335,0.1532258064516129,0.7307692307692307,0.6788990825688074,0.31728045325779036,0.2612872846409893,0.7747588802634674,0.44589848256922354
wicket-1.3.0-beta2,hcbou,standard,Árbol de Decisión,15,87,11,240,0.234375,0.14705882352941177,0.5769230769230769,0.7339449541284404,0.2776203966005666,0.3223542870601694,0.7904610679840038,0.3889900881812646
